date,open,high,low,close,volume
2026-07-29,55.04,56.25,54.16,54.49,4348300
2026-07-28,54.83,55.85,53.35,55.81,5553600
2026-07-27,54.75,57.07,54.39,55.63,5038200
2026-07-24,57.26,57.46,53.85,54.07,4427800
2026-07-23,57.20,58.43,56.28,57.02,4695600
2026-07-22,59.52,59.86,57.74,58.07,3780400
2026-07-21,59.51,60.83,58.61,59.66,4357400
2026-07-20,61.46,62.42,59.30,59.49,4967900
2026-07-17,61.68,63.28,61.06,61.82,4552000
2026-07-16,67.07,67.42,62.80,63.15,5593100
2026-07-15,67.79,68.49,65.95,68.28,3427800
2026-07-14,66.67,67.89,65.80,67.44,5812300
2026-07-13,66.33,69.55,65.54,67.01,8522000
2026-07-10,76.72,76.72,67.31,68.27,9176900
2026-07-09,73.80,76.84,73.14,76.56,4415000
2026-07-08,77.34,78.30,73.34,73.80,6581700
2026-07-07,82.10,82.90,77.41,79.77,8688300
2026-07-06,78.55,85.60,77.50,81.80,17296900
2026-07-02,73.71,81.40,73.68,79.76,14087700
2026-07-01,70.04,73.91,68.87,72.50,9275300
2026-06-30,69.83,73.28,69.22,70.03,11805900
2026-06-29,67.94,69.90,66.30,69.70,8077400
2026-06-26,59.47,69.29,59.23,67.27,14456700
2026-06-25,60.33,61.86,57.91,59.75,6797400
2026-06-24,61.17,62.75,59.85,60.42,11704000
2026-06-23,59.05,63.98,58.34,61.00,6814200
2026-06-22,64.07,65.51,57.50,59.35,8363500
2026-06-18,63.96,67.74,60.73,63.96,24078800
2026-06-17,56.21,62.30,54.51,61.80,12448000
2026-06-16,52.24,57.79,51.66,55.40,13050500
2026-06-15,51.37,52.23,49.84,52.13,6342100
2026-06-12,49.98,51.75,49.62,49.91,5080100
2026-06-11,46.43,49.94,46.30,49.64,6196200
2026-06-10,47.22,48.52,45.67,45.99,4217000
2026-06-09,48.42,48.42,45.40,47.73,5080500
2026-06-08,48.22,48.99,46.80,47.60,3994600
2026-06-05,50.77,51.53,46.38,47.44,6084100
2026-06-04,49.40,51.90,48.94,51.59,6709700
2026-06-03,45.30,49.55,45.30,49.06,6934400
2026-06-02,45.35,46.17,43.90,45.64,5690100
2026-06-01,47.07,47.07,44.20,46.06,6177800
2026-05-29,47.27,49.26,46.82,47.19,6314900
2026-05-28,47.24,47.58,45.89,47.57,4726400
2026-05-27,47.02,49.08,46.87,47.61,3592400
2026-05-26,47.21,48.67,46.17,47.03,3993700
2026-05-22,47.54,48.35,46.77,46.88,4217900
2026-05-21,47.63,47.93,46.48,47.26,4790700
2026-05-20,46.04,48.77,45.95,48.12,4777800
2026-05-19,47.61,47.64,45.63,45.72,5455600
2026-05-18,49.98,50.50,47.64,48.11,5028700
2026-05-15,48.43,49.88,47.91,49.04,7233100
2026-05-14,49.50,50.80,48.71,50.03,7668100
2026-05-13,52.85,53.06,49.99,50.42,7508300
2026-05-12,52.24,54.62,51.25,53.27,11248200
2026-05-11,58.08,59.48,51.39,52.88,25402200
2026-05-08,49.00,57.78,48.98,54.35,20925900
2026-05-07,51.69,52.00,47.78,48.54,8496600
2026-05-06,47.10,49.05,46.73,48.79,4390300
2026-05-05,47.67,47.73,45.78,46.71,4834200
2026-05-04,45.32,47.97,45.29,47.30,7587700
2026-05-01,46.63,48.40,43.68,45.37,10233100
2026-04-30,46.20,47.94,45.75,45.94,6066100
2026-04-29,46.75,47.19,44.62,45.72,5478400
2026-04-28,48.79,48.93,46.75,47.14,3643500
2026-04-27,50.63,51.36,48.25,48.70,6089500
2026-04-24,53.38,53.49,50.57,50.73,4552400
2026-04-23,55.62,56.10,52.61,52.85,4062700
2026-04-22,55.40,55.93,54.35,55.60,3506600
2026-04-21,53.96,56.20,51.68,54.23,6195700
2026-04-20,53.69,55.72,53.01,54.59,5609200
2026-04-17,55.70,56.06,52.95,53.72,13585400
2026-04-16,54.13,54.95,52.76,54.68,5092600
2026-04-15,53.76,55.20,53.26,54.26,4806900
2026-04-14,50.59,53.00,50.05,52.84,5415100
2026-04-13,51.01,53.00,50.47,50.68,6652100
2026-04-10,51.67,52.89,50.02,50.96,6276500
2026-04-09,51.63,52.00,50.58,51.28,4436100
2026-04-08,51.99,52.39,50.54,52.10,4859900
2026-04-07,48.70,50.29,47.40,50.11,4301700
2026-04-06,49.07,49.80,48.20,48.77,3488500
2026-04-02,48.15,50.51,48.11,49.20,4631800
2026-04-01,51.64,52.78,49.58,50.03,7548900
2026-03-31,49.02,51.62,47.96,50.80,8182700
2026-03-30,49.67,49.85,47.14,48.23,5229100
2026-03-27,53.29,53.56,49.48,49.56,7101500
2026-03-26,52.76,54.68,52.30,53.57,3862700
2026-03-25,52.57,54.24,52.53,53.54,4467900
2026-03-24,50.44,52.68,50.34,51.34,4808400
2026-03-23,51.23,52.55,50.19,51.28,5977200
2026-03-20,51.69,52.98,50.62,51.38,15477600
2026-03-19,51.01,52.89,51.01,52.37,4881000
2026-03-18,53.18,53.36,51.02,52.40,6572300
2026-03-17,53.50,56.51,53.41,53.93,7701000
2026-03-16,53.40,53.96,51.63,53.31,6970100
2026-03-13,54.31,55.09,51.44,52.56,6606200
2026-03-12,54.75,55.02,53.21,53.39,6333200
2026-03-11,54.98,57.88,54.81,55.97,6842900
2026-03-10,55.22,56.16,52.65,54.98,7268700
2026-03-09,53.30,56.62,51.91,55.74,13833900
2026-03-06,52.22,52.77,49.22,52.52,12432600
2026-03-05,56.96,58.74,52.17,53.83,13953500
2026-03-04,53.58,59.55,51.69,57.80,23103600
2026-03-03,50.44,51.86,48.09,49.83,9258800
2026-03-02,52.42,54.94,50.45,52.85,9424700
2026-02-27,51.27,53.62,50.73,53.57,9069700
2026-02-26,51.43,52.81,50.62,51.71,5761900
2026-02-25,50.74,53.85,50.67,51.37,7948000
2026-02-24,50.18,51.97,49.53,50.52,7006600
2026-02-23,48.69,54.02,48.68,50.29,11510900
2026-02-20,49.16,50.48,48.29,49.87,9026000
2026-02-19,46.99,50.46,45.80,49.70,12142000
2026-02-18,46.69,47.68,45.65,46.60,13099100
2026-02-17,42.28,45.07,41.97,43.93,10454400
2026-02-13,41.85,44.80,41.20,42.23,16336600
2026-02-12,40.12,40.91,38.82,40.11,7904700
2026-02-11,37.60,40.81,36.65,40.51,14881700
2026-02-10,42.87,45.50,41.68,41.99,9987800
2026-02-09,41.07,42.00,40.17,41.95,7378800
2026-02-06,41.18,41.49,39.50,41.01,8338800
2026-02-05,42.03,43.85,40.08,40.87,11681100
2026-02-04,42.59,43.37,41.53,42.77,8505300
2026-02-03,42.65,44.17,41.28,42.20,9368500
2026-02-02,43.45,46.58,41.63,42.55,16118900
2026-01-30,45.98,46.34,43.43,44.07,10960700
2026-01-29,45.88,47.85,45.72,46.86,10768700
2026-01-28,45.48,45.97,43.55,45.30,10617300
2026-01-27,48.09,51.18,45.03,45.45,15262200
2026-01-26,49.47,49.48,46.59,47.99,11291500
2026-01-23,49.81,50.41,46.84,48.71,19929700
2026-01-22,50.24,55.20,50.05,51.87,34243500
2026-01-21,43.50,50.00,43.34,49.81,22612300
2026-01-20,41.13,43.04,40.70,43.00,12604300
2026-01-16,41.60,42.39,40.55,41.83,11891100
2026-01-15,40.58,40.99,39.25,39.36,10213800
2026-01-14,39.73,41.98,39.30,40.58,19502300
2026-01-13,34.38,39.71,34.05,39.60,24707700
2026-01-12,34.40,34.66,32.37,33.84,9438100
2026-01-09,34.30,35.41,33.94,34.30,7551300
2026-01-08,35.44,35.56,33.72,33.86,9218100
2026-01-07,34.50,37.10,34.42,35.89,13854500
2026-01-06,32.38,36.26,32.28,35.66,20701900
2026-01-05,31.33,32.53,31.27,32.17,10030300
2026-01-02,29.83,31.34,29.81,30.86,9583000
2025-12-31,30.26,30.39,29.06,29.49,8949300
2025-12-30,31.13,31.25,30.36,30.41,5666800
2025-12-29,31.00,31.24,30.65,31.15,5924400
2025-12-26,32.50,32.66,31.07,31.20,6322800
2025-12-24,32.16,32.79,32.14,32.75,2780200
2025-12-23,34.86,34.97,32.14,32.29,11927000
2025-12-22,33.59,35.90,33.32,34.90,13194600
2025-12-19,31.28,34.25,31.17,33.80,23582400
2025-12-18,30.74,32.21,30.61,30.95,13696900
2025-12-17,30.01,31.70,29.91,30.51,11557300
2025-12-16,29.91,30.00,29.04,29.89,7369500
2025-12-15,29.28,30.30,28.66,29.92,9271600
2025-12-12,29.46,30.43,29.40,29.46,12305900
2025-12-11,28.93,29.68,28.88,29.63,8179800
2025-12-10,28.22,29.12,27.98,29.03,7686000
2025-12-09,27.60,28.52,26.90,28.24,11701400
2025-12-08,27.55,28.00,27.05,27.97,10973000
2025-12-05,25.58,27.75,25.38,27.70,16532100
2025-12-04,25.20,25.90,24.70,25.49,8531800
2025-12-03,24.04,25.20,23.93,25.18,7780000
2025-12-02,24.22,24.63,23.92,24.06,10350500
2025-12-01,25.05,25.25,24.13,24.16,9609000
2025-11-28,25.01,26.05,24.87,25.98,4286500
2025-11-26,24.78,25.32,24.38,25.01,6495400
2025-11-25,24.21,24.80,23.99,24.75,6726600
2025-11-24,23.76,24.34,23.55,24.15,9557200
2025-11-21,22.39,23.94,22.28,23.72,13904500
2025-11-20,24.45,24.91,22.32,22.36,18620800
2025-11-19,24.95,25.06,23.76,24.18,9400500
2025-11-18,24.49,24.99,23.80,24.92,8360500
2025-11-17,24.50,25.33,24.27,24.76,8249600
2025-11-14,24.43,24.88,24.18,24.77,8952400
2025-11-13,26.11,26.20,24.80,24.96,10689800
2025-11-12,26.07,27.10,25.97,26.71,9582300
2025-11-11,24.95,26.62,24.71,26.41,11705800
2025-11-10,24.75,25.13,23.74,24.76,8257900
2025-11-07,23.87,24.57,23.04,24.54,10383700
2025-11-06,25.24,25.56,23.66,24.33,17644600
2025-11-05,23.92,24.04,23.48,23.56,11158500
2025-11-04,24.73,25.15,23.71,23.75,12491400
2025-11-03,26.61,26.61,24.73,24.91,14704000
2025-10-31,27.83,27.87,26.86,27.16,15696500
2025-10-30,24.42,29.20,24.25,28.14,48698700
2025-10-29,25.44,25.55,24.41,24.70,8752800
2025-10-28,26.67,26.90,25.20,25.35,8832400
2025-10-27,27.01,27.37,26.55,26.66,6710100
2025-10-24,26.52,26.91,26.11,26.74,6494100
2025-10-23,25.82,26.67,25.57,26.25,8723200
2025-10-22,27.21,27.35,26.26,26.85,7871700
2025-10-21,27.25,27.59,26.65,27.49,6155100
2025-10-20,26.41,28.12,26.39,27.24,11497800
2025-10-17,26.42,26.94,25.68,26.01,10115900
2025-10-16,27.84,28.48,27.11,27.14,7884700
2025-10-15,26.59,27.96,26.38,27.72,8529300
2025-10-14,26.32,26.69,26.01,26.25,7042000
2025-10-13,27.24,28.06,26.60,26.74,9187300
2025-10-10,27.78,27.98,26.24,26.83,10103400
2025-10-09,28.10,28.30,27.40,27.53,6859100
2025-10-08,27.37,29.45,27.31,27.92,12323600
2025-10-07,27.61,27.76,26.91,27.34,6075700
2025-10-06,28.49,28.67,27.48,27.54,8359900
2025-10-03,28.66,28.99,27.92,28.49,8152900
2025-10-02,28.02,28.41,26.99,28.37,10075900
2025-10-01,26.12,28.35,26.12,27.60,17591400
2025-09-30,25.10,26.01,24.56,25.83,9622600
2025-09-29,24.82,25.50,24.44,25.33,8011000
2025-09-26,24.51,24.78,23.91,24.49,10240200
2025-09-25,25.68,25.68,24.44,24.61,10626900
2025-09-24,25.82,26.23,25.52,25.88,7526400
